"id","permit_no","type","received","received_year","received_month","approved","approved_year","approved_month","approval_msg","name","comments","duration"
1,"2004-39","CCCDP",2005-05-09,2005,5,2005-10-05,2005,10,,"Breeza","184 condominiums",149
2,"2004-02","CCDP",2013-01-15,2013,1,2013-06-04,2013,6,"Resumed","R-3","2 Story Office, 2900 sq ft.",139
3,"2004-03","CCDP",2004-02-06,2004,2,2004-06-23,2004,6,,"Aria","137 Condominiums",138
4,"2004-04","CCDP",2004-02-11,2004,2,2004-04-20,2004,4,,"15th Street Lofts","2 live/work Lofts",69
5,"2004-08","CCDP",2004-02-26,2004,2,2004-06-23,2004,6,,"Bayview Motel & Apartments","Expand existing motel, add 79 studio apartments & restaurant",117
6,"2004-11","CCDP",2004-02-12,2004,2,2004-07-27,2004,7,,"Solunto Bakery","Commerical Addition",165
7,"2004-16","CCDP",2004-03-30,2004,3,2004-08-05,2004,8,,"Krebs Residence",,126
8,"2004-24","CCDP",2004-09-05,2004,9,2004-11-22,2004,11,,"Portofino",,77
9,"2004-25","CCDP/VAR",2004-06-08,2004,6,2004-11-11,2004,11,,"Laundry Lofts","208 condominiums",156
10,"2004-27","CCDP",2004-07-12,2004,7,2004-09-23,2004,9,,"1337 India Street (Metroworks)",,71
11,"2004-29","CCDP",2004-06-24,2004,6,2004-12-17,2004,12,,"17th & G","84 condominiums",173
12,"2004-33","CCDP (DDA)",2004-07-09,2004,7,2005-05-20,2005,5,,"Diamond View Tower","250k office; 75k retail",311
13,"2004-40","CCDP",2004-09-22,2004,9,2005-01-14,2005,1,,"Celagio",,112
14,"2004-42","CCDP",2008-05-14,2008,5,2004-11-22,2004,11,,"Triangle","58,250k residential 7,958 sf retail.  Amendment of approved CCDP 2004-42.",188
15,"2004-42A","CCDP AMEND./EXT.",2008-03-14,2008,3,2008-10-22,2008,10,,"Triangle (14th and Imperial)","49 condominiums, 4958 sq. ft. retail",222
16,"2004-43","CCDP",2004-08-30,2004,8,2005-01-21,2005,1,,"Palm Restaurant","New 2-story building adjacent to and integrated with existing historic bldg for restaurant use",141
17,"2004-44","CCDP",2004-09-28,2004,9,2004-11-22,2004,11,,"Union/Beech",,54
18,"2004-48","CCDP",2004-09-20,2004,9,,,,"Withdrawn","14th & K (Platt Block)","WITHDRAWN",
19,"2004-53","CCDP",2004-11-19,2004,11,2005-02-25,2005,2,,"Echelon",,96
20,"2004-54","CCDP",2004-10-15,2004,10,2005-04-12,2005,4,,"Lofts 32","34 units, 450 sq ft retail",177
21,"2004-57","CCDP",2004-11-12,2004,11,2005-01-29,2005,1,,"11th & B","196 condominiums, 7,235 sq ft retail",77
22,"2004-57A","CCDP",2008-05-14,2008,5,,,,"Withdrawn","11th & B","213 Residential units, 7,011 sf retail.  Amendment of approved CCDP 2004-57",
23,"2004-58","CCDP",2004-12-03,2004,12,2005-03-26,2005,3,,"Current","146 apartments, approx 4,000 sq ft retail",113
24,"2004-60","CCDP",2004-12-28,2004,12,2005-04-23,2005,4,,"Resco Little Italy","Self Storage and 7,000 sq ft. retail",115
25,"2004-61","CCDP",2004-12-20,2004,12,,,,"Withdrawn","Pacific Pointe","403 condominiums; 12k retail",
26,"2005-01","CCDP",2005-02-10,2005,2,2005-04-01,2005,4,,"1959 Columbia Street",,51
27,"2005-10","CCDP",2005-02-15,2005,2,2005-04-07,2005,4,,"Grape",,52
28,"2005-11","CCDP",2005-02-11,2005,2,2005-08-25,2005,8,,"Cosmopolitan Square","239 condominiums, 17k retail, 12k office",194
29,"2005-12","CCDP",2005-02-16,2005,2,2005-08-25,2005,8,,"Market Street Village II","244 condominiums, 24 SRO, 14,000 sq ft retail",189
30,"2005-13","CCDP",2005-02-26,2005,2,2005-06-22,2005,6,,"G Lofts East","226 units; 8.500 sq ft retail",116
31,"2005-17","CCDP",2005-03-25,2005,3,2005-05-26,2005,5,,"Legacy",,61
32,"2005-20","CCDP",2005-04-11,2005,4,2006-05-25,2006,5,,"Grand Pacific Tower","DEVELOPMENT PERMIT EXPIRED 5.25.10",404
33,"2005-22","CCDP",2005-04-12,2005,4,2005-07-29,2005,7,,"A-1 Self Storage","187k sq ft storage, 18,000 sq ft retail",137
34,"2005-23A","CCDP Extension",2008-06-24,2008,6,2008-09-24,2008,9,,"Pier (permit extension)",,92
35,"2005-24","CCDP",2005-04-12,2005,4,2005-07-25,2005,7,,"Park Boulevard at Harbor Drive Pedestrian Bridge","Pedestrian Bridge",103
36,"2005-27","CCDP (OPA)",2005-04-28,2005,4,2006-02-21,2006,2,,"15th & Island","2 towers with 623 units & 20, 120 sq ft retail + 1/2 block park",299
37,"2005-34","CCDP",2005-05-25,2005,5,2005-07-25,2005,7,,"Tivoli Bar","Expansion",60
38,"2005-37","CCDP",2005-07-07,2005,7,2005-12-02,2005,12,,"16th/Island","244 units, 23,521 sq. ft. retail",145
39,"2005-40","CCDP",2005-07-13,2005,7,2005-10-26,2005,10,,"CITIPOINT","360 units, 2,654 sq ft retail",103
40,"2005-41","CCDP",2005-04-15,2005,4,2005-08-05,2005,8,,"Gil Residence","SFR",110
41,"2005-42","CCDP",2005-08-19,2005,8,2005-11-28,2005,11,,"West Laurel",,69
42,"2005-44","CCDP",2005-07-28,2005,7,2007-05-11,2007,5,"Closed Due To Inactivity","445 West Ash","CLOSED DUE TO INACTIVITY 5/11/07",
43,"2005-48","CCDP",2005-08-18,2005,8,2005-10-27,2005,10,,"Front and Ash",,69
