"Field","Start","End","Length","Type","Comments"
"1. Table ID ",1,4,4,"AN ","Value is D1-1 "
"2. Respondent ID ",5,14,10,"AN ","Assigned by regulatory agency "
,,,,,"(same as HMDAID if applicable);  "
,,,,,"Right justified with leading zeros "
"3. Agency Code ",15,15,1,"N ","Values are 1=OCC, 2=FRS, "
,,,,,"3=FDIC, or 4=OTS "
"4. Activity Year ",16,19,4,"N ","Four digit year (e.g. 1996) "
"5. Loan Type ",20,20,1,"N ","Value is 4 (Small Business) "
"6. Action Taken Type ",21,21,1,"N ","Value is 1 (Originations) "
"7. State ",22,23,2,"AN ","FIPS code with leading zeros "
,,,,,"or blank for totals across all "
,,,,,"states "
"8. County ",24,26,3,"AN ","FIPS code with leading zeros or blank "
,,,,,"for totals across all counties "
"9. MSA/MD ",27,30,4,"AN ","As defined by OMB; Right justified "
,,,,,"with leading zeros, NA left justified "
,,,,,"for areas outside of MSA/MD or blank "
,,,,,"for totals across all MSA/MDs "
"10. Assessment Area Number ",31,34,4,"AN ","Values are 0001 through 9999; Right "
,,,,,"justified with leading zeros, NA left justified "
,,,,,"for areas outside of an Assessment "
,,,,,"Area (including predominately military "
,,,,,"areas) OR blank for totals across "
,,,,,"all Assessment Areas "
"11. Partial County Indicator ",35,35,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals "
"12. Split County Indicator ",36,36,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals "
"13 . Population Classification ",37,37,1,"AN ","Values are "
,,,,,"S= counties with "
,,,,,"< 500,000 in population "
,,,,,"L= counties with "
,,,,,">500,000 in population "
,,,,,"OR blank for totals "
"14. Income Group Total ",38,41,3,"AN ","Values are "
,,,,,"1= < 10% of Median Family "
,,,,,"Income(MFI) "
,,,,,"2= 10% to 20% of MFI "
,,,,,"3= 20% to 30% of MFI "
,,,,,"4= 30% to 40% of MFI "
,,,,,"5= 40% to 50% of MFI "
,,,,,"6= 50% to 60% of MFI "
,,,,,"7= 60% to 70% of MFI "
,,,,,"8= 70% to 80% of MFI "
,,,,,"9= 80% to 90% of MFI "
,,,,," 10= 90% to 100% of MFI "
,,,,," 11= 100% to 110% of MFI "
,,,,," 12= 110% to 120% of MFI "
,,,,," 13= > 120% of MFI "
,,,,," 14= MFI not known (income "
,,,,,"percentage = 0) "
,,,,," 15= Tract not Known (reported "
,,,,,"as NA) "
,,,,,"101= Low Income (< 50% of "
,,,,,"MFI - excluding 0) "
,,,,,"102= Moderate Income (50% "
,,,,,"to 80% of MFI) "
,,,,,"103= Middle Income (80% to "
,,,,,"120% of MFI) "
,,,,,"104= Upper Income (> 120% "
,,,,,"of MFI) "
,,,,,"105= Income Not Known (0) "
,,,,,"106= Tract not Known (NA) "
,,,,,"Right justified with leading zeros "
,,,,,"or blank for totals "
"15. Report Level ",42,44,3,"AN ","Values are "
,,,,,"4= Total Inside & Outside "
,,,,,"Assessment Area (AA) "
,,,,,"(across all states) "
,,,,,"6= Total Inside AA "
,,,,,"(across all states) "
,,,,,"8= Total Outside AA "
,,,,,"(across all states) "
,,,,,"  10= State Total "
,,,,,"  20= Total Inside AA in State "
,,,,,"  30= Total Outside AA in State "
,,,,,"  40= County Total "
,,,,,"  50= Total Inside AA in County "
,,,,,"  60= Total Outside AA in County "
,,,,,"Right justified with leading zeros "
,,,,,"or blank if not a total "
"16. Number of Small Business Loans ",44,49,6,"N ","Right justified with leading zeros "
"Originated with Loan Amount at ",,,,,
"Origination < $100,000 ",,,,,
"17. Total Loan Amount of Small Business ",50,57,8,"N ","Amount is in thousands {e.g. 00000025 "
"Loans Originated with Loan Amount ",,,,,"indicates $25,000); Right justified with "
"at Origination < $100,000 ",,,,,"leading zeros "
"18. Number of Small Business Loans ",58,63,6,"N ","Right justified with leading zeros "
"Originated with Loan Amount at ",,,,,
"Origination > 100,000 and ",,,,,
"< $250,000 ",,,,,
"19. Total Loan Amount of Small Business ",64,71,8,"N ","Amount is in thousands {e.g. 00000125 "
"Loans Originated with Loan Amount ",,,,,"indicates $125,000); Right justified with "
"at Origination > $100,000 and ",,,,,"leading zeros "
"< $250,000 ",,,,,
"20. Number of Small Business Loans ",72,77,6,"N ","Right justified with leading zeros "
"Originated with Loan Amount at ",,,,,
"Origination > $250,000 and < ",,,,,
"$1,000,000 ",,,,,
"21. Total Loan Amount of Small Business ",78,85,8,"N ","Amount is in thousands {e.g. 00000300 "
"Loans Originated with Loan Amount ",,,,,"indicates $300,000); Right justified with "
"at Origination > $250,000 and < ",,,,,"leading zeros "
"$1,000,000 ",,,,,
"22. Number of Loans Originated to Small ",86,91,6,"N ","Right justified with leading zeros "
"Businesses with Gross Annual ",,,,,
"Revenues < $1 million  (Originations & ",,,,,
"Purchases) ",,,,,
"23. Total Loan Amount of Loans ",92,99,8,"N ","Amount is in thousands {e.g. 00000025 "
"Originated to Small Businesses ",,,,,"indicates $25,000); Right justified with "
"with Gross Annual Revenues ",,,,,"leading zeros "
"< $1 million (Originations & ",,,,,
"Purchases) ",,,,,
"24. Number of Small Business Loans ",100,105,6,"N ","Right justified with leading zeros "
"Originated Reported as Affiliate Loans  ",,,,,
"(Originations and Purchases) ",,,,,
"25. Total Loan Amount of Small Business ",106,113,8,"N ","Amount is in thousands {e.g. 00000025 "
"Loans Originated Reported as Affiliate ",,,,,"indicates $25,000); Right justified with "
"Loans (Originations &  Purchases) ",,,,,"leading zeros "
"Field ","Start ","End ","Length ","Type ","Comments, Values, Keys, Etc. "
"1. Table ID ",1,4,4,"AN ","Value is D1-2 "
"2. Respondent ID ",5,14,10,"AN ","Assigned by regulatory agency "
,,,,,"(same as HMDAID if applicable);  "
,,,,,"Right justified with leading zeros "
"3. Agency Code ",15,15,1,"N ","Values are 1=OCC, 2=FRS, "
,,,,,"3=FDIC, or 4=OTS "
"4. Activity Year ",16,19,4,"N ","Four digit year (e.g. 1996) "
"5. Loan Type ",20,20,1,"N ","Value is 4 (Small Business) "
"6. Action Taken Type ",21,21,1,"N ","Value is 6 (Purchases) "
"7. State ",22,23,2,"AN ","FIPS code with leading zeros "
,,,,,"or blank for totals across all "
,,,,,"states "
"8. County ",24,26,3,"AN ","FIPS code with leading zeros or blank "
,,,,,"for totals across all counties "
"9. MSA/MD ",27,30,4,"AN ","As defined by OMB; Right justified "
,,,,,"with leading zeros, NA left justified "
,,,,,"for areas outside of MSA/MD or blank "
,,,,,"for totals across all MSA/MDs "
"10. Assessment Area Number ",31,34,4,"AN ","Values are 0001 through 9999; Right "
,,,,,"justified with leading zeros, NA left justified "
,,,,,"for areas outside of an Assessment "
,,,,,"Area (including predominately military "
,,,,,"areas) OR blank for totals across "
,,,,,"all Assessment Areas "
"11. Partial County Indicator ",35,35,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals "
"12. Split County Indicator ",36,36,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals "
"13 . Population Classification ",37,37,1,"AN ","Values are "
,,,,,"S= counties with "
,,,,,"< 500,000 in population "
,,,,,"L= counties with "
,,,,,">500,000 in population "
,,,,,"OR blank for totals "
"14. Income Group Total ",38,41,3,"AN ","Values are "
,,,,,"1= < 10% of Median Family "
,,,,,"Income(MFI) "
,,,,,"2= 10% to 20% of MFI "
,,,,,"3= 20% to 30% of MFI "
,,,,,"4= 30% to 40% of MFI "
,,,,,"5= 40% to 50% of MFI "
,,,,,"6= 50% to 60% of MFI "
,,,,,"7= 60% to 70% of MFI "
,,,,,"8= 70% to 80% of MFI "
,,,,,"9= 80% to 90% of MFI "
,,,,," 10= 90% to 100% of MFI "
,,,,," 11= 100% to 110% of MFI "
,,,,," 12= 110% to 120% of MFI "
,,,,," 13= > 120% of MFI "
,,,,," 14= MFI not known (income "
,,,,,"percentage = 0) "
,,,,," 15= Tract not Known (reported "
,,,,,"as NA) "
,,,,,"101= Low Income (< 50% of "
,,,,,"MFI - excluding 0) "
,,,,,"102= Moderate Income (50% "
,,,,,"to 80% of MFI) "
,,,,,"103= Middle Income (80% to "
,,,,,"120% of MFI) "
,,,,,"104= Upper Income (> 120% "
,,,,,"of MFI) "
,,,,,"105= Income Not Known (0) "
,,,,,"106= Tract not Known (NA) "
,,,,,"Right justified with leading zeros "
,,,,,"or blank for totals "
"15. Report Level ",42,44,3,"AN ","Values are "
,,,,,"4= Total Inside & Outside "
,,,,,"Assessment Area (AA) "
,,,,,"(across all states) "
,,,,,"6= Total Inside AA "
,,,,,"(across all states) "
,,,,,"8= Total Outside AA "
,,,,,"(across all states) "
,,,,,"  10= State Total "
,,,,,"  20= Total Inside AA in State "
,,,,,"  30= Total Outside AA in State "
,,,,,"  40= County Total "
,,,,,"  50= Total Inside AA in County "
,,,,,"  60= Total Outside AA in County "
,,,,,"Right justified with leading zeros "
,,,,,"or blank if not a total "
"16. Number of Small Business Loans ",44,49,6,"N ","Right justified with leading zeros "
"Purchased with Loan Amount at ",,,,,
"Origination < $100,000 ",,,,,
"17. Total Loan Amount of Small Business ",50,57,8,"N ","Amount is in thousands {e.g. 00000025 "
"Loans Purchased with Loan Amount ",,,,,"indicates $25,000); Right justified with "
"at Origination < $100,000 ",,,,,"leading zeros "
"18. Number of Small Business Loans ",58,63,6,"N ","Right justified with leading zeros "
"Purchased with Loan Amount at ",,,,,
"Origination > 100,000 and ",,,,,
"< $250,000 ",,,,,
"19. Total Loan Amount of Small Business ",64,71,8,"N ","Amount is in thousands {e.g. 00000125 "
"Loans Purchased with Loan Amount ",,,,,"indicates $125,000); Right justified with "
"at Origination > $100,000 and ",,,,,"leading zeros "
"< $250,000 ",,,,,
"20. Number of Small Business Loans ",72,77,6,"N ","Right justified with leading zeros "
"Purchased with Loan Amount at ",,,,,
"Origination > $250,000 and < ",,,,,
"$1,000,000 ",,,,,
"21. Total Loan Amount of Small Business ",78,85,8,"N ","Amount is in thousands {e.g. 00000300 "
"Loans Purchased with Loan Amount ",,,,,"indicates $300,000); Right justified with "
"at Origination > $250,000 and < ",,,,,"leading zeros "
"$1,000,000 ",,,,,
"22. Number of Loans Purchased to Small ",86,91,6,"N ","Right justified with leading zeros "
"Businesses with Gross Annual ",,,,,
"Revenues < $1 million  (Originations & ",,,,,
"Purchases) ",,,,,
"23. Total Loan Amount of Loans ",92,99,8,"N ","Amount is in thousands {e.g. 00000025 "
"Purchased to Small Businesses ",,,,,"indicates $25,000); Right justified with "
"with Gross Annual Revenues ",,,,,"leading zeros "
"< $1 million  (Originations & ",,,,,
"Purchases) ",,,,,
"24. Number of Small Business Loans ",100,105,6,"N ","Right justified with leading zeros "
"Purchased Reported as Affiliate Loans ",,,,,
"(Originations and Purchases) ",,,,,
"25. Total Loan Amount of Small Business ",106,113,8,"N ","Amount is in thousands {e.g. 00000025 "
"Loans Reported as Affiliate ",,,,,"indicates $25,000); Right justified with "
"Loans (Originated and Purchased) ",,,,,"leading zeros "
"Field ","Start ","End ","Length ","Type ","Comments, Values, Keys, Etc. "
"1. Table ID ",1,4,4,"AN ","Value is D2-1 "
"2. Respondent ID ",5,14,10,"AN ","Assigned by regulatory agency "
,,,,,"(same as HMDAID if applicable);  "
,,,,,"Right justified with leading zeros "
"3. Agency Code ",15,15,1,"N ","Values are 1=OCC, 2=FRS, "
,,,,,"3=FDIC, or 4=OTS "
"4. Activity Year ",16,19,4,"N ","Four digit year (e.g. 1996) "
"5. Loan Type ",20,20,1,"N ","Value is 5 (Small Farm) "
"6. Action Taken Type ",21,21,1,"N ","Value is 1 (Originations) "
"7. State ",22,23,2,"AN ","FIPS code with leading zeros "
,,,,,"or blank for totals across all "
,,,,,"states "
"8. County ",24,26,3,"AN ","FIPS code with leading zeros or blank "
,,,,,"for totals across all counties "
"9. MSA/MD ",27,30,4,"AN ","As defined by OMB; Right justified "
,,,,,"with leading zeros, NA left justified "
,,,,,"for areas outside of MSA/MD or blank "
,,,,,"for totals across all MSA/MDs "
"10. Assessment Area Number ",31,34,4,"AN ","Values are 0001 through 9999; Right "
,,,,,"justified with leading zeros, NA left justified "
,,,,,"for areas outside of an Assessment "
,,,,,"Area (including predominately military "
,,,,,"areas) OR blank for totals across "
,,,,,"all Assessment Areas "
"11. Partial County Indicator ",35,35,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals "
"12. Split County Indicator ",36,36,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals "
"13 . Population Classification ",37,37,1,"AN ","Values are "
,,,,,"S= counties with "
,,,,,"< 500,000 in population "
,,,,,"L= counties with "
,,,,,">500,000 in population "
,,,,,"OR blank for totals "
"14. Income Group Total ",38,41,3,"AN ","Values are "
,,,,,"1= < 10% of Median Family "
,,,,,"Income(MFI) "
,,,,,"2= 10% to 20% of MFI "
,,,,,"3= 20% to 30% of MFI "
,,,,,"4= 30% to 40% of MFI "
,,,,,"5= 40% to 50% of MFI "
,,,,,"6= 50% to 60% of MFI "
,,,,,"7= 60% to 70% of MFI "
,,,,,"8= 70% to 80% of MFI "
,,,,,"9= 80% to 90% of MFI "
,,,,," 10= 90% to 100% of MFI "
,,,,," 11= 100% to 110% of MFI "
,,,,," 12= 110% to 120% of MFI "
,,,,," 13= > 120% of MFI "
,,,,," 14= MFI not known (income "
,,,,,"percentage = 0) "
,,,,," 15= Tract not Known (reported "
,,,,,"as NA) "
,,,,,"101= Low Income (< 50% of "
,,,,,"MFI - excluding 0) "
,,,,,"102= Moderate Income (50% "
,,,,,"to 80% of MFI) "
,,,,,"103= Middle Income (80% to "
,,,,,"120% of MFI) "
,,,,,"104= Upper Income (> 120% "
,,,,,"of MFI) "
,,,,,"105= Income Not Known (0) "
,,,,,"106= Tract not Known (NA) "
,,,,,"Right justified with leading zeros "
,,,,,"or blank for totals "
"15. Report Level ",42,44,3,"AN ","Values are "
,,,,,"4= Total Inside & Outside "
,,,,,"Assessment Area (AA) "
,,,,,"(across all states) "
,,,,,"6= Total Inside AA "
,,,,,"(across all states) "
,,,,,"8= Total Outside AA "
,,,,,"(across all states) "
,,,,,"  10= State Total "
,,,,,"  20= Total Inside AA in State "
,,,,,"  30= Total Outside AA in State "
,,,,,"  40= County Total "
,,,,,"  50= Total Inside AA in County "
,,,,,"  60= Total Outside AA in County "
,,,,,"Right justified with leading zeros "
,,,,,"or blank if not a total "
"16. Number of Small Farm Loans ",44,49,6,"N ","Right justified with leading zeros "
"Originated with Loan Amount at ",,,,,
"Origination < $100,000 ",,,,,
"17. Total Loan Amount of Small Farm ",50,57,8,"N ","Amount is in thousands {e.g. 00000025 "
"Loans Originated with Loan Amount ",,,,,"indicates $25,000); Right justified with "
"at Origination < $100,000 ",,,,,"leading zeros "
"18. Number of Small Farm Loans ",58,63,6,"N ","Right justified with leading zeros "
"Originated with Loan Amount at ",,,,,
"Origination > 100,000 and ",,,,,
"< $250,000 ",,,,,
"19. Total Loan Amount of Small Farm ",64,71,8,"N ","Amount is in thousands {e.g. 00000125 "
"Loans Originated with Loan Amount ",,,,,"indicates $125,000); Right justified with "
"at Origination > $100,000 and ",,,,,"leading zeros "
"< $250,000 ",,,,,
"20. Number of Small Farm Loans ",72,77,6,"N ","Right justified with leading zeros "
"Originated with Loan Amount at ",,,,,
"Origination > $250,000  ",,,,,
"21. Total Loan Amount of Small Farm ",78,85,8,"N ","Amount is in thousands {e.g. 00000300 "
"Loans Originated with Loan Amount ",,,,,"indicates $300,000); Right justified with "
"at Origination > $250,000  ",,,,,"leading zeros "
"22. Number of Loans Originated to Small ",86,91,6,"N ","Right justified with leading zeros "
"Farms with Gross Annual ",,,,,
"Revenues < $1 million  (Originations & ",,,,,
"Purchases) ",,,,,
"23. Total Loan Amount of Loans ",92,99,8,"N ","Amount is in thousands {e.g. 00000025 "
"Originated to Small Farms ",,,,,"indicates $25,000); Right justified with "
"with Gross Annual Revenues ",,,,,"leading zeros "
"< $1 million (Originations & ",,,,,
"Purchases) ",,,,,
"24. Number of Small Farm Loans ",100,105,6,"N ","Right justified with leading zeros "
"Originated Reported as Affiliate Loans  ",,,,,
"(Originations and Purchases) ",,,,,
"25. Total Loan Amount of Small Farm ",106,113,8,"N ","Amount is in thousands {e.g. 00000025 "
"Loans Originated Reported as Affiliate ",,,,,"indicates $25,000); Right justified with "
"Loans (Originations &  Purchases) ",,,,,"leading zeros "
"Field ","Start ","End ","Length ","Type ","Comments, Values, Keys, Etc. "
"1. Table ID ",1,4,4,"AN ","Value is D2-2 "
"2. Respondent ID ",5,14,10,"AN ","Assigned by regulatory agency "
,,,,,"(same as HMDAID if applicable);  "
,,,,,"Right justified with leading zeros "
"3. Agency Code ",15,15,1,"N ","Values are 1=OCC, 2=FRS, "
,,,,,"3=FDIC, or 4=OTS "
"4. Activity Year ",16,19,4,"N ","Four digit year (e.g. 1996) "
"5. Loan Type ",20,20,1,"N ","Value is 5 (Small Farm) "
"6. Action Taken Type ",21,21,1,"N ","Value is 6 (Purchases) "
"7. State ",22,23,2,"AN ","FIPS code with leading zeros "
,,,,,"or blank for totals across all "
,,,,,"states "
"8. County ",24,26,3,"AN ","FIPS code with leading zeros or blank "
,,,,,"for totals across all counties "
"9. MSA/MD ",27,30,4,"AN ","As defined by OMB; Right justified "
,,,,,"with leading zeros, NA left justified "
,,,,,"for areas outside of MSA/MD or blank "
,,,,,"for totals across all MSA/MDs "
"10. Assessment Area Number ",31,34,4,"AN ","Values are 0001 through 9999; Right "
,,,,,"justified with leading zeros, NA left justified "
,,,,,"for areas outside of an Assessment "
,,,,,"Area (including predominately military "
,,,,,"areas) OR blank for totals across "
,,,,,"all Assessment Areas "
"11. Partial County Indicator ",35,35,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals "
"12. Split County Indicator ",36,36,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals "
"13 . Population Classification ",37,37,1,"AN ","Values are "
,,,,,"S= counties with "
,,,,,"< 500,000 in population "
,,,,,"L= counties with "
,,,,,">500,000 in population "
,,,,,"OR blank for totals "
"14. Income Group Total ",38,41,3,"AN ","Values are "
,,,,,"1= < 10% of Median Family "
,,,,,"Income(MFI) "
,,,,,"2= 10% to 20% of MFI "
,,,,,"3= 20% to 30% of MFI "
,,,,,"4= 30% to 40% of MFI "
,,,,,"5= 40% to 50% of MFI "
,,,,,"6= 50% to 60% of MFI "
,,,,,"7= 60% to 70% of MFI "
,,,,,"8= 70% to 80% of MFI "
,,,,,"9= 80% to 90% of MFI "
,,,,," 10= 90% to 100% of MFI "
,,,,," 11= 100% to 110% of MFI "
,,,,," 12= 110% to 120% of MFI "
,,,,," 13= > 120% of MFI "
,,,,," 14= MFI not known (income "
,,,,,"percentage = 0) "
,,,,," 15= Tract not Known (reported "
,,,,,"as NA) "
,,,,,"101= Low Income (< 50% of "
,,,,,"MFI - excluding 0) "
,,,,,"102= Moderate Income (50% "
,,,,,"to 80% of MFI) "
,,,,,"103= Middle Income (80% to "
,,,,,"120% of MFI) "
,,,,,"104= Upper Income (> 120% "
,,,,,"of MFI) "
,,,,,"105= Income Not Known (0) "
,,,,,"106= Tract not Known (NA) "
,,,,,"Right justified with leading zeros "
,,,,,"or blank for totals "
"15. Report Level ",42,44,3,"AN ","Values are "
,,,,,"4= Total Inside & Outside "
,,,,,"Assessment Area (AA) "
,,,,,"(across all states) "
,,,,,"6= Total Inside AA "
,,,,,"(across all states) "
,,,,,"8= Total Outside AA "
,,,,,"(across all states) "
,,,,,"  10= State Total "
,,,,,"  20= Total Inside AA in State "
,,,,,"  30= Total Outside AA in State "
,,,,,"  40= County Total "
,,,,,"  50= Total Inside AA in County "
,,,,,"  60= Total Outside AA in County "
,,,,,"Right justified with leading zeros "
,,,,,"or blank if not a total "
"16. Number of Small Farm Loans ",44,49,6,"N ","Right justified with leading zeros "
"Purchased with Loan Amount at ",,,,,
"Origination < $100,000 ",,,,,
"17. Total Loan Amount of Small Farm ",50,57,8,"N ","Amount is in thousands {e.g. 00000025 "
"Loans Purchased with Loan Amount ",,,,,"indicates $25,000); Right justified with "
"at Origination < $100,000 ",,,,,"leading zeros "
"18. Number of Small Farm Loans ",58,63,6,"N ","Right justified with leading zeros "
"Purchased with Loan Amount at ",,,,,
"Origination > 100,000 and ",,,,,
"< $250,000 ",,,,,
"19. Total Loan Amount of Small Farm ",64,71,8,"N ","Amount is in thousands {e.g. 00000125 "
"Loans Purchased with Loan Amount ",,,,,"indicates $125,000); Right justified with "
"at Origination > $100,000 and ",,,,,"leading zeros "
"< $250,000 ",,,,,
"20. Number of Small Farm Loans ",72,77,6,"N ","Right justified with leading zeros "
"Purchased with Loan Amount at ",,,,,
"Origination > $250,000  ",,,,,
"21. Total Loan Amount of Small Farm ",78,85,8,"N ","Amount is in thousands {e.g. 00000300 "
"Loans Purchased with Loan Amount ",,,,,"indicates $300,000); Right justified with "
"at Origination > $250,000  ",,,,,"leading zeros "
"22. Number of Loans to Small ",86,91,6,"N ","Right justified with leading zeros "
"Farms with Gross Annual ",,,,,
