"agency_id","site_id","name","orig_address","geocoded_address","geocoded_city","lat","lon"
1002,1,"Angel's Depot","1497 Poinsettia Ave , Vista CA 92081","1497 Poinsettia Ave","Oceanside",33.135917,-117.224023
1002,2,"Angel's Depot","3839 Lake Blvd, Oceanside, 92056",,,,
1002,3,"Angel's Depot","1100 Broadway, San Diego 92101",,,,
1002,4,"Angel's Depot","1400 Vale Terrace Dr. Vista, 92084",,,,
1002,5,"Angel's Depot","2799 Health Center Drive,  San Diego, 92123",,,,
1002,6,"Angel's Depot","4065 43rd Street,  San Diego, 92105",,,,
1002,7,"Angel's Depot","4440 Wightman Street, Suite 200 San Diego, 92015",,,,
1002,8,"Angel's Depot","570 S 65th Street San Diego, ",,,,
1002,9,"Angel's Depot","1011 East Main St., El Cajon, 92021",,,,
1002,10,"Angel's Depot","30950 Hwy 79 Warner Springs, 92086",,,,
1002,11,"Angel's Depot","6845 University Ave. San Diego, 92115",,,,
1002,12,"Angel's Depot","799 Pine Ave. Carlsbad, 92008",,,,
1002,13,"Angel's Depot","111 W. Richmar Ave. San Marcos, 92069",,,,
1002,14,"Angel's Depot","8460 Mira Mesa Blvd. San Diego, 92126",,,,
1002,15,"Angel's Depot","1140 Oakcrest Park Dr. Encinitas, 92024",,,,
1002,16,"Angel's Depot","663 E San Ysidro Blvd, San Diego, 92173",,,,
1002,17,"Angel's Depot","2202 Comstock Street San Diego, CA 92111","2202 Comstock St","San Diego",32.783441,-117.172281
1002,18,"Angel's Depot","210 E. Park Ave. Escondido, 92025",,,,
1002,19,"Angel's Depot","28890 Lilac Road,  Valley Center, 92082",,,,
1002,20,"Angel's Depot","455 Country Club Ln. Oceanside, 92054",,,,
1002,21,"Angel's Depot","50100 Golsh Rd., Valley Center, 92082",,,,
1002,22,"Angel's Depot","774 Main St. Ramona, 92065",,,,
1003,1,"Presbyterian Urban Ministries","2459 Market St, San Diego CA 92102","2459 Market St","San Diego",32.711511,-117.141287
1005,1,"Birthline Clairemont","3660 Clairemont Dr, San Diego CA 92117","3660 Clairemont Dr","San Diego",32.807165,-117.201109
1006,1,"San Diego Rescue Mission","120 Elm St., San Diego CA 92101","120 Elm St","San Diego",32.724132,-117.163694
1008,1,"Santa Sophia Conference","9800 San Juan St, Spring Valley CA 91977","9800 San Juan St","Spring Valley",32.748711,-116.987349
