table,seq,column,is_pk,is_fk,type,size,description,derivedfrom,d_has_codes,d_is_code,id
sdfb_partners,1,id,1,,INTEGER,,San Diego Food Bank Partners,,,,t03H01
sdfb_partners,2,agencyref,,,VARCHAR,11,AgencyRef,,,,c03H01002
sdfb_partners,3,agencyname,,,VARCHAR,47,AgencyName,,,,c03H01003
sdfb_partners,4,addr1,,,VARCHAR,35,Addr1,,,,c03H01004
sdfb_partners,5,addr2,,,VARCHAR,28,Addr2,,,,c03H01005
sdfb_partners,6,city,,,VARCHAR,15,City,,,,c03H01006
sdfb_partners,7,state,,,VARCHAR,2,State,,,,c03H01007
sdfb_partners,8,zip,,,INTEGER,5,Zip,,,,c03H01008
sdfb_partners,9,freefoodonly,,,VARCHAR,5,FreeFoodOnly,,,,c03H01009
sdfb_partners,10,last_pu_delivery,,,DATE,,Last PU/Delivery,,,,c03H0100a
sdfb_partners,11,county_code,,,VARCHAR,9,County Code,,,,c03H0100b
sdfb_partners,12,city_code,,,VARCHAR,15,City Code,,,,c03H0100c
sdfb_partners,13,agency_type,,,VARCHAR,8,Agency Type,,,,c03H0100d
sdfb_partners,14,group,,,VARCHAR,30,Group,,,,c03H0100e
sdfb_partners,15,service_fee,,,VARCHAR,18,Service Fee,,,,c03H0100f
sdfb_partners,16,markup,,,VARCHAR,9,Markup,,,,c03H0100g
sdfb_partners,17,agency_size,,,VARCHAR,8,Agency Size,,,,c03H0100h
sdfb_partners,18,parent_agency,,,VARCHAR,44,Parent Agency,,,,c03H0100i
sdfb_partners,19,default_warehouse,,,VARCHAR,36,Default Warehouse,,,,c03H0100j
sdfb_partners,20,default_pickup_warehouse,,,VARCHAR,36,Default Pickup Warehouse,,,,c03H0100k
sdfb_partners,21,opensunam,,,VARCHAR,5,OpenSunAM,,,,c03H0100l
sdfb_partners,22,opensunpm,,,VARCHAR,5,OpenSunPM,,,,c03H0100m
sdfb_partners,23,sunfrom,,,VARCHAR,11,SunFrom,,,,c03H0100n
sdfb_partners,24,sunto,,,VARCHAR,10,SunTo,,,,c03H0100o
sdfb_partners,25,openmonam,,,VARCHAR,5,OpenMonAM,,,,c03H0100p
sdfb_partners,26,openmonpm,,,VARCHAR,5,OpenMonPM,,,,c03H0100q
sdfb_partners,27,monfrom,,,DATE,,MonFrom,,1,,c03H0100r
sdfb_partners,29,monto,,,DATETIME,,MonTo,,1,,c03H0100t
sdfb_partners,31,opentueam,,,VARCHAR,5,OpenTueAM,,,,c03H0100v
sdfb_partners,32,opentuepm,,,VARCHAR,5,OpenTuePM,,,,c03H0100w
sdfb_partners,33,tuefrom,,,DATE,,TueFrom,,1,,c03H0100x
sdfb_partners,35,tueto,,,DATE,,TueTo,,1,,c03H0100z
sdfb_partners,37,openwedam,,,VARCHAR,5,OpenWedAM,,,,c03H0100B
sdfb_partners,38,openwedpm,,,VARCHAR,5,OpenWedPM,,,,c03H0100C
sdfb_partners,39,wedfrom,,,DATE,,WedFrom,,1,,c03H0100D
sdfb_partners,41,wedto,,,DATETIME,,WedTo,,1,,c03H0100F
sdfb_partners,43,openthram,,,VARCHAR,5,OpenThrAM,,,,c03H0100H
sdfb_partners,44,openthrpm,,,VARCHAR,5,OpenThrPM,,,,c03H0100I
sdfb_partners,45,thrfrom,,,DATE,,ThrFrom,,1,,c03H0100J
sdfb_partners,47,thrto,,,DATE,,ThrTo,,1,,c03H0100L
sdfb_partners,49,openfriam,,,VARCHAR,5,OpenFriAM,,,,c03H0100N
sdfb_partners,50,openfripm,,,VARCHAR,5,OpenFriPM,,,,c03H0100O
sdfb_partners,51,frifrom,,,DATE,,FriFrom,,1,,c03H0100P
sdfb_partners,53,frito,,,DATETIME,,FriTo,,1,,c03H0100R
sdfb_partners,55,opensatam,,,VARCHAR,5,OpenSatAM,,,,c03H0100T
sdfb_partners,56,opensatpm,,,VARCHAR,5,OpenSatPM,,,,c03H0100U
sdfb_partners,57,satfrom,,,VARCHAR,9,SatFrom,,,,c03H0100V
sdfb_partners,58,satto,,,VARCHAR,8,SatTo,,,,c03H0100W
sdfb_partners,59,opened,,,DATE,,Opened,,,,c03H0100X
sdfb_partners,60,lastsold,,,DATE,,LastSold,,,,c03H0100Y
sdfb_partners,61,open24,,,VARCHAR,5,Open24,,,,c03H0100Z
sdfb_partners,62,latecharge,,,VARCHAR,5,LateCharge,,,,c03H01010
sdfb_partners,63,hourscomments,,,VARCHAR,255,HoursComments,,,,c03H01011
sdfb_partners,64,alternate_state,,,VARCHAR,0,Alternate State,,,,c03H01012
sdfb_partners,65,food_rescue,,,VARCHAR,5,Food Rescue,,,,c03H01013
sdfb_partners,66,retail_pickup,,,VARCHAR,5,Retail Pickup,,,,c03H01014
sdfb_partners,67,agency_retail_pickup,,,VARCHAR,5,Agency Retail Pickup,,,,c03H01015
sdfb_partners,68,datesuspended,,,VARCHAR,18,DateSuspended,,,,c03H01016
sdfb_partners,69,suspendedreason,,,VARCHAR,35,SuspendedReason,,,,c03H01017
sdfb_partners,70,monthlyweightlimit,,,INTEGER,,MonthlyWeightLimit,,,,c03H01018
sdfb_partners,71,monthlycreditlimit,,,INTEGER,,MonthlyCreditLimit,,,,c03H01019
sdfb_partners,72,max_weight,,,INTEGER,,Max Weight,,,,c03H0101a
